result,correction
-1,"อาชีพ,ขาย,เรือนร่าง,เสียภาษี,รายได้,ข้อความ,กรกฎาคม,เวลา"
1,"แก้,เกมส์,หมายถึง,รวย,ใต้โต๊ะ,ป่าว,ยักย้ายถ่ายเท,ทรัพย์สิน,ป่าว,ใต้โต๊ะ,หวัง,สรรพากร,ไม่เล่นด้วย"
1,"จ่าย,ภาษี,เอาเปรียบ,คนอื่น,ทุจริต,คอรัปชั่น,ไม่ต้อง,ไม่ต้อง,เล่นการเมือง"
1,"อาชีพ,เอน,เต,อร,เท,รับจ้าง,ไม่ได้,ขาย,เรือนร่าง"
-1,"หมายความว่า,คน,ทุจริต,คอรัปชั่น,เหรอ"
-1,"ช่วยไม่ได้,เลือก,ที่จะ,หลบเลี่ยง,ภาษี,รายได้,ไม่ยอม,เสียภาษี,กฏหมาย,การเอาเปรียบ,คนอื่น,บอ,คนดี,หรอ,เต็มใจ,ยื่น,ภาษี,แต่แรก,โดน,ตรวจ,ย้อนหลัง,ปี,โดน,เจตนา,หลบเลี่ยง,ภาษี,ตรวจ,แบบนี้,โดน,ย้อนหลัง,ปี,ดอกเบี้ย,โหด,รายได้,โหด"
-1,"เฮ้อ,ใส่,ความเห็น,ข้อความ,กรกฎาคม,เวลา"
-1,"ช่วยไม่ได้,เลือก,ที่จะ,หลบเลี่ยง,ภาษี,รายได้,ไม่ยอม,เสียภาษี,กฏหมาย,การเอาเปรียบ,คนอื่น,บอ,คนดี,หรอ,เต็มใจ,ยื่น,ภาษี,แต่แรก,โดน,ตรวจ,ย้อนหลัง,ปี,โดน,เจตนา,หลบเลี่ยง,ภาษี,ตรวจ,แบบนี้,โดน,ย้อนหลัง,ปี,ดอกเบี้ย,โหด,รายได้,โหด"
1,"ได้คิด,โดน,ด้วยซ้ำ,รุ้,แก้,เกมส์,จ่าย"
1,"เจ้าของ,โดน,หน้าที่,หัก,ภาษี,จ่าย,หัก,ไม่รู้,หรือปล่าว,ไปดู,สลิป,เงิน,เดือนก่อน"
1,"เข้าเกณฑ์,เรต,ภาษี,ดารา,นักแสดง,แจง,ยอดดี,จ่าย,ย้อนหลัง,ไหว,แห,ล่ะ"
1,"หลักกฎหมาย,แจง,ยอด,ให้ได้,เดือน,เงิน,จำนวน,ค่าแรง,ร้าน,จ่าย,เดือน,ดริ้ง,ทำได้,หา,ค่าเฉลี่ย,รายเดือน,คูณ,จำนวน,เดือน,เงินได้พึงประเมิน,รายปี,สูตร,หา,ภาษีเงินได้,บวก,เบี้ยปรับ,แยก,ปี,ย้อนหลัง,รวมทั้งหมด,ภาษี,จ่าย,คาด,เงินรายได้,ก้อน,นี้,เงินก้อน,เงินก้อน,เงิน,ทิป,ทำ,ถูกใจ,แขก,ทิป,หนัก,ตรงนี้,สรรพากร,สนใจ,อยากรู้,เงิน,ทิป,เงิน,เสน่ห์หา,ไม่ต้อง,เสียภาษี,รึปล่าว,ลอง,ถาม,ผู้รู้,ดู"
1,"เหมือน,ไม่เข้าใจ,คอรัปชั่น,เค้า,เอาไว้,ใช้กับ,ผู้มีอำนาจ,คน,ทั่วไป,ผม,ไม่ได้,บอ,ข้าราชการ,คอรัปชั่น"
0,"ข้อความ,กรกฎาคม,เวลา"
1,"รู้,ขาย,นม,vat,สินค้า,เกษตร"
1,"ดี,จ่าย,ภาษี,ข้อความ,กรกฎาคม,เวลา"
0,"ข้อความ,กรกฎาคม,เวลา"
-1,"โดน,สรรพากร,ตรวจสอบ,ชี้แจง,เงิน,เข้าบัญชี,เงิน,ที่มา,มาจาก,การทำงาน,ประกอบอาชีพ,เสียภาษี,ชี้แจง,ไม่ได้,โดน,ไม่แน่ใจ,โดน,ยึด,เงิน,สันนิษฐาน,ฟอกเงิน,ผิดกฎหมาย,นี้,มั้ง"
-1,"เหมือน,แกล้ง,เค้า,นิสัย,แย่มาก,แกล้ง,เค้า,รู้,เข้าตัว,นะจ๊ะ,ไม่รอด,ร้าน,แห,ล่ะ"
-1,"ฝั่ง,ที่จะ,แกล้ง,ทีม,ทำร้าย,คนอื่น,ไม่มีใคร,แกล้ง,ยินดี,ที่จะ,โดน,อยู่แล้ว,ไม่ได้,กลัว,รายได้,ไม่ได้,ถึงเกณฑ์,เหมือน,แย่ง,ลูกค้า,เงิน,ล่ะ"
-1,
-1,"ถนนหนทาง,สาธารณูปโภค,มาจาก,ภาษี,ละอายใจ,ใด้,ช่วยกัน,สิ"
1,"สบายใจ,ระยะยาว"
1,"อิจพ,รี่,รายได้,หมอ,หลัก,แสน,เค้า,คน,อายุ,รายได้,ปี,ล้าน,อย่า,ลืม,จดทะเบียน,vat,ร้า"
1,"ถูกกฎหมาย,อ่ะ,สนับสนุน,แกล้ง,ทำดี,แจ้ง,ร้าน,โดน,คำถาม,คน,เดือดร้อน,เพื่อน,คนอื่นๆ,ร้าน,พนักงาน,ไหม,เหมือน,ทำ,คนอื่น,เดือดร้อน,สุดท้าย,สบายใจ"
1,"ให้เงิน,เสน่ห์หา,ไม่ต้อง,เสียภาษี,มั้ง"
-1,กลัว
1,"หลักกฎหมาย,แจง,ยอด,ให้ได้,เดือน,เงิน,จำนวน,ค่าแรง,ร้าน,จ่าย,เดือน,ดริ้ง,ทำได้,หา,ค่าเฉลี่ย,รายเดือน,คูณ,จำนวน,เดือน,เงินได้พึงประเมิน,รายปี,สูตร,หา,ภาษีเงินได้,บวก,เบี้ยปรับ,แยก,ปี,ย้อนหลัง,รวมทั้งหมด,ภาษี,จ่าย,คาด,เงินรายได้,ก้อน,นี้,เงินก้อน,เงินก้อน,เงิน,ทิป,ทำ,ถูกใจ,แขก,ทิป,หนัก,ตรงนี้,สรรพากร,สนใจ,อยากรู้,เงิน,ทิป,เงิน,เสน่ห์หา,ไม่ต้อง,เสียภาษี,รึปล่าว,ลอง,ถาม,ผู้รู้,ดู"
-1,"แหล่ง,ฟอกเงิน,เหล้า,เบียร์,อาหาร,เดิน,เงิน,สะอาด,ค่าตัว,ลูกจ้าง,topup,เงิน,ใต้ดิน"
-1,"เค้า,ถึงขั้น,หมดตัว"
-1,"เอาเลย,เชียร์,รายได้,ควรจะ,เสียภาษี,คาดการณ์,ที่จะ,เกิดขึ้น,มานะ,คน,โดน,ร้อง,โดน,สอบ,นายจ้าง,นายจ้าง,โดน,หนัก,เส้นใหญ่,โดน,นายจ้าง,ดาษ,หา,ตัวการ,แจ้ง,คน,แจ้ง,โดน,เส้น,ลูกจ้าง,โดน,ตามมา,เป็นราย"
-1,"ผม,เจอ,ครับผม,ชื่อ,เป็นเจ้าของ,ไฟแนนซ์,เสียภาษี,พี,ชาย,ธนาคาร,ปี,ผม,ไม่รู้,สรรพ,กร,แจ้ง,ผม,แจ้ง,ภาษีเงินได้,โดน,ร็,บช,ธนาคาร,สาขา"
1,"สมัคร,บัตรเครดิต,แอร์,เอเชีย,ธนาคาร,กรุงเทพ,สาขา,ธนาคาร,วันที่,2,ทราบ,สมัคร"
1,"สวัสดี,สมาชิก,หมายเลข,35,Bualuang,ขอบคุณ,ความไว้วางใจ,บัตรเครดิต,ธนาคาร,กรุงเทพ,นะคะ,สำหรับ,สมัคร,บัตรเครดิต,ธนาคาร,ใช้เวลา,การพิจารณา,ดำเนิน,การประมาณ,สัปดาห์,เอกสาร,แจ้ง,ทราบ,ดังนี้,กรณี,การอนุมัติ,บัตรเครดิต,ธนาคาร,จะแจ้ง,ทราบ,ข้อความ,กรณี,การอนุมัติ,บัตรเครดิต,ธนาคาร,ส่งจดหมาย,ทางไปรษณีย์,แจ้ง,ทราบ,ดิฉัน,ทราบ,ข้อมูล,ประสานงาน,บริการ,สมาชิก,บัตรเครดิต,นะคะ,รบกวน,ทราบ,ข้อมูล,ดังนี้,ื่อ,นามสกุล,มาย,เลข,บัตรประชาชน,่อง,สมัคร,บริการ,สาขา,ธนาคาร,โปรด,ระบุชื่อ,สาขา,สมัคร,Website,บอ,ร์,โทรศัพท์,ติดต่อ,สะดวก,ขอบคุณ"
-1,"โอน,เงิน,กรุงไทย,Cimb,แบบนี้,ผม,เปลี่ยนไป,แบงค์,กสิกร,โอน,ตามปกติ,เพราะอะไร,ข้อความ,กรกฎาคม,เวลา"
1,"ทำ,ปรับปรุง,ระบบ,โพส,แจ้ง,เฟส,บุ๊ค,ไม่แน่ใจ,ช่วงเวลา,ไหม"
1,"แม่ยาย,ซื้อ,เจ้าของ,โครง,การรับทราบ,แม่ยาย,ซื้อ,เวลา,ทำสัญญา,ทราบ,ทำสัญญา,ในนาม,แม่ยาย,เหรอ"
1,"แม่ยาย,ซื้อ,เจ้าของ,โครง,การรับทราบ,แม่ยาย,ซื้อ,เวลา,ทำสัญญา,ทราบ,ทำสัญญา,ในนาม,แม่ยาย,เหรอ"
1,สัญญา
1,"อันนี้,บ้าน,ติด,ธนาคาร,หรือว่า,เงิน,ดาว,์น,เฉย ๆ,เงิน,ดาว,์น,ไม่น่า,มีปัญหา,ติด,ธนาคาร,เรื่องใหญ่,เงิน,ดาว,์น,โมฆะ,ล้าง,แล้วก็,จบ,เจ้าของ,โครงการ,ทราบ,จริง ๆ,ไม่ได้,เจตนา,ทำ,ติด,ธนาคาร,เรื่องใหญ่,ธนาคาร,รู้เรื่อง,ข้อความ,กรกฎาคม,เวลา"
1,"ปพพ,มีเรื่อง,เจตนา,ซ่อนเร้น,เจ้าของบ้าน,รู้,จขกท,ไม่ได้,ซื้อ,กรณี,แบบนี้,โมฆะ"
-1,"บ้าน,จำนอง,ธนาคาร"
1,"ดูหนังสือ,ทนายความ"
-1,"จขกท,ใจเย็น,ปล่อย,ปี,เป็นคดี,แล้วก็,ต้องตาม,เอกสาร,สัญญา,ทำ,รับผิดชอบ"
1,"ใจเย็น,ตอบคำถาม,สรูป,ธนาคาร,อนุมัติ,เงิน,กู้,บ้าน,จำนอง,ธนาคาร,ผ่อน,เงินดาวน์,บ้าน,จำนอง,บ้าน,อันนี้,เป็นเรื่อง,ธนาคาร,เจรจา,ธนาคาร,ผ่อน,ไม่ไหว,โดน,ฟ้อง,ยึดทรัพย์,ขายทอดตลาด,ขาย,หนี้,เค้า,ฟ้อง,ต่อไป,ยึดทรัพย์,ต่อไป,บ้าน,ธนาคาร,ขั้นตอน,ผ่อน,เงินดาวน์,เรื่อง,เจ้าของบ้าน,ดู,สัญญา,สัญญา,ไหม,โดยปกติ,สัญญา,ทั่วไป,สัญญา,ซื้อ,ขาย,ระบุ,โอน,บ้าน,กี่,ถูกปรับ,ตอนนี้,คุย,เจ้าของบ้าน,คุย,สภาพ,ความเป็นจริง,ผ่อน,ไหว,ไหม,ผ่อน,ไม่ไหว,คืน,บ้าน,ขอความกรุณา,คืน,เงินดาวน์,บางส่วน,ไหม,หวัง,เค้า,คืน,เต็ม,จำนวน,ผม,ว่ายาก,เค้า,เสียโอกาส,ที่จะ,บ้าน,ขาย,คนอื่น,สุดท้าย,ซื้อ,บ้าน,คุย,ไหม,ผ่อน,ครอบครัว,แบบนี้,ปัญหา,เกิดขึ้น,รถ,บ้าน,รีบ,ทำ,รีบ,เจรจา,อย่า,รอ,เค้า,ฟ้อง,แสน,นึง,เค้า,จ้าง,ทนาย,ฟ้อง,เค้า,หัก,ค่า,ทนาย"
1,"แม่ยาย,ซื้อ,ซื้อ,ชื่ผม"
-1,"ฟ้อง,เค้า,ยึด,เงิน,จ่าย,ภาระ,ผ่อน,ไม่ไหว,ไม่ต้อง,ซื้อ,เตี้ยอุ้มค่อม"
1,"แม่ยาย,ไม่เกี่ยว,ชื่อ,รับผิดชอบ"
-1,"ทำ,เรื่อง,กู้,ซื้อ,บ้าน,ธนาคาร,กสิกร,นัด,ทำสัญญา,พฤหัสบดี,ที่จะ,ถาม,เพื่อน,พี่,ห้อง,ค่า,รา,คาที่,ทำ,เรื่อง,กู้,้าน,ธนาคาร,กสิกร,อนุมัติ,คา,บ้าน,รา,ค่า,โอน,ค่า,จำนอง,ทำ,ประกัน"
-1,"ราคา,บ้าน"
1,"สวัสดี,สมาชิก,หมายเลข,สำหรับ,ค่า,จำนอง,เป็นอัตรา,ที่ทาง,กรมที่ดิน,นะคะ,กรณี,การอนุมัติ,สินเชื่อ,บ้าน,ธนาคาร,ลูกค้า,ทำ,ประกัน,อัคคีภัย,นะคะ,สมาชิก,หมายเลข,ตรวจสอบ,เบี้ยประกัน,สอบถาม,รายละเอียด,สาขา,สินเชื่อ,นะคะ,ขอบคุณ"
0,กระทู้
1,"พิกุล,ชื่อ,วิทยาศาสตร์,Mimusops,elengi,ไม้ยืนต้น,ดอก,หอม,สี,ขาว,มีชื่อ,พื้นเมือง,แก้ว,เชียงใหม่,ซาง,ดง,ลำปาง,ตันหยง,นราธิวาส,พิกุล,ไม้ยืนต้น,ใบ,เดี่ยว,เรียง,เวียน,สลับ,รูป,รี,รูปไข่,เซนติเมตร,เซนติเมตร,ปลาย,ใบ,แหลม,ติ่ง,ขอบ,ใบ,คลื่น,ดอก,เดี่ยว,ปลาย,กิ่ง,ซอก,ใบ,กลีบ,เลี้ยง,กลีบ,เรียง,ซ้อน,ชั้น,กลีบ,เรียง,ซ้อน,โคน,เชื่อม,ติดกัน,ดอก,สี,ขาว,โรย,สีเหลือง,อม,น้ำตาล,ดอก,บาน,ร่วง,กลิ่นหอม,ออกดอก,สีเหลือง,รส,หวาน,อม,ฝาด"
1,"ลักษณะ,อากาศ,ทั่วไป,วันที่,กรกฎาคม,2,แผนที่,อากาศ,พยากรณ์อากาศ,ชั่วโมง,ข้างหน้า,บริเวณ,ภาคใต้,ตะวันออก,ฝน,ตกหนัก,หนัก,ขอให้,ประชาชน,บริเวณ,ระวัง,อันตราย,ฝน,ตกหนัก,หนัก,ทำให้เกิด,น้ำท่วม,ฉับพลัน,น้ำป่า,ไหลหลาก,ต่อไป,ภาคเหนือ,ตะวันออกเฉียงเหนือ,กลาง,ปริมาณ,ฝน,สำหรับ,ทะเล,อันดามัน,คลื่น,เมตร,อ่าวไทย,ตอน,คลื่น,เมตร,บริเวณ,ฝน,ฟ้าคะนอง,คลื่น,เมตร,ขอให้,ชาวเรือ,ความระมัดระวัง,การเดินเรือ,หลีกเลี่ยง,การเดินเรือ,บริเวณ,ฝน,ฟ้าคะนอง,เรือ,งด,ออกจาก,ฝั่ง,วันที่,กรกฎาคม,2,พยากรณ์อากาศ,สำหรับ,กรุงเทพฯ,ปริมณฑล,เวลา,วันพรุ่งนี้,เมฆ,ฝน,ฟ้าคะนอง,ร้อยละ,พื้นที่,อุณหภูมิ,ต่ำสุด,องศาเซลเซียส,อุณหภูมิ,องศาเซลเซียส,ลม,ตะวันตกเฉียงใต้,ความเร็ว,1,กม,ชม"
1,"ความมั่นใจ,นับถือ,ตาย,ทุกท่าน,มีความสุข,ท่าน,สาต,กี,เทพธิดา,แน่นอน,บางคน,ตอนต้น,ย่อหย่อน,เวลา,ตาย,กำลังใจ,เข้มข้น,ไปสวรรค์,พรหมโลก,พระ,ไม่ต้อง,สำนัก,ท่าน,พระยา,ยมราช"
1,"สวัสดี,พี่,บ้าน,สาย,ฮา,ทุกท่าน"
1,"สวัสดี,พี่น้อง,ทุกท่าน"
1,"บรรยากาศ,เที่ยว,พี่,กัญ"
0,"กราฟ,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน,ข้อความ,กรกฎาคม,เวลา"
1,"เดินทาง,ทิศตะวันตก,บ้าน,ja,พักผ่อน"
-1,"หนู,รอ,กิน,ข้าวผัด,แม่,เจ้,ทำ,หนู,หิว,ริ,ริ,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"ทาน,มื้อ,เช้า,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน,ข้อความ,กรกฎาคม,เวลา"
1,"แนะนำ,ซื้อ,ไก่ทอด,ฝาก,ป้า,เจ้าถิ่น,ค่า,ริ,ริ"
0,"Ohayo,Doyobi"
-1,"Morning,ฝาก,น้องๆ,GenZ,Blessed,are,the,young,for,they,will,inherit,the,national,debt,Herbert,Hoover,quotes,ใช้ชีวิต,สนุก,วัย,ว้าวุ่น,ผู้รับ,ช่วงต่อ,หนี้,สาธารณะ,ต่อไป,ริ,ริ"
1,"อย่า,ลืม,กิน,ทับทิม,กรอบ,ร้าน,แชมป์"
1,"เอาจริง,Toyota,จับมือ,BYD,พัฒนา,รถยนต์,ไฟฟ้า,ป้อน,ตลาด,จีน"
1,"ขอบคุณ,พี่,ห้า"
1,"มื้อ,เดินทาง"
1,"YouTube,Music,อัพเดต,สลับ,ฟังเพลง,ดู,MV,เพลง,เล่น"
1,"สมาคม,ธนาคาร,เปิดตัว,MyPromptQR,ร้านค้า,สแกน,QR,แอ,LINE,Pay"
1,"เดือน,กรกฎาคม,สัปดาห์,ข้อความ,กรกฎาคม,เวลา"
1,"เดิน,เดือน,คิว"
1,"รีวิว,ที่เที่ยว,สิ"
1,"แม่น,แล่,เจ,แนะนำ,สัปดาห์,ที่สาม,ทุ่ง,บาน,ร่วง,บาน,เชค,ล่วงหน้า,อากาศ,บ้าๆบอๆ,ข้อความ,กรกฎาคม,เวลา"
1,"เจาะลึก,เม็ดเงิน,โฆษณา,ออนไลน์,VS,ออฟไลน์,ลงทุน,แมน"
1,"แก้,แล่,พิมพ์,มือถือ,แก้,ไปมา,ลืมเลือน,ถ่าย,ซ่อม,เหมือน,ภาพ,กล่อง,แดด,ดี,ข้อความ,กรกฎาคม,เวลา"
1,"นึก,ซักผ้า,ต่อไป"
1,"ไม่มีใคร,วน,อีกแล้ว"
1,"รูป,ทุ่ง,ลา,เวนเดอร์,ฮอก,กะได,ดัน,โด,ยุ่น,ปี่"
1,"NINTENDO,ระเบิด,ลงทุน,แมน"
1,"Furano,tomita,Farm"
-1,"ขึ้นกับ,Netflix,มูลค่า,หาย,แสน,ล้าน,ลงทุน,แมน"
1,"ASP,แนะ,BBL,ปันผล,บาท,MINT,คาด,แจก,ผลตอบแทน"
1,"DOHOME,ชู,ความต่าง,งัด,วิธี,ยัน,ราคา,หุ้น"
1,"SAPPE,Trading,บริษัท,เซ็ป,เป้,จำกัด,มหาชน,SAPPE,กรกฎาคม"
1,"CPF,Buy,บริษัท,เจริญ,โภคภัณฑ์,อาหาร,จำกัด,มหาชน,CPF,กรกฎาคม"
1,"MEGA,บริษัท,เมก้า,ไลฟ์,ไซ,แอ็นซ์,จำกัด,มหาชน,MEGA,กรกฎาคม"
1,"BCH,Buy,บริษัท,บางกอก,เชน,ฮอสปิทอล,จำกัด,มหาชน,BCH,กรกฎาคม"
1,"BBL,Buy,ธนาคาร,กรุงเทพ,จำกัด,มหาชน,BBL,กรกฎาคม"
1,"สวัสดี,วันหยุด,ท่าน,บล,บัวหลวง,เผย,วอ,ลุ่ม,ซื้อขาย,Block,Trade,เดือน,พุ่ง,รอบ,ปี"
-1,"คิว,กระซิบ,บอ,คู่แข่ง,Netflix,หนัง,ปก"
1,"SCB,Buy,ธนาคาร,ไทย,พาณิชย์,จำกัด,มหาชน,SCB,กรกฎาคม"
-1,"ล่อแหลม,หนัก,อิหร่าน,ทำตาม,คำขู่,เอาคืน,ยึด,เรือ,บรรทุก,ติดธง,อังกฤษ,อ่าว,เปอร์เซีย"
1,"สวน,ครู,ตุ้ม,นักท่องเที่ยว,เข้าชม,ชิม,ชอป,ผลไม้,ตามฤดูกาล,เต็มอิ่ม,1,บาท"
-1,"เชียร์,ซื้อ,เชียร์,ขาย,ซิ,น้อง,เดี่ยว,ขาย,หุ้น,เต็ม,พอร์ต,กินข้าว,ยี่สิบ"
1,"Disney,เอย,apple,ทำ,content,หนิ"
1,"ปช,เงินอุดหนุน,พรรค,พปช,รอ,นค,พท,ตามมา,ยอดรวม"
1,"Disney,WB,รู้สึก,เปิดตัว,ปี,นี้,งาน,นี้,แข่ง,กระจุย"
-1,"คนร้าย,วางเพลิง,อ้าง,ก่อเหตุ,สตูดิโอ,แอนิเมชัน,ขโมย,ผลงาน"
1,"แนะนำ,ลุง,เบ,แม่น,วาง"
1,"สงสัย,กลัว,mono,max,น้อง,ไผ่,คริๆ"
0,"Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"ญี่ปุ่น,มอบ,ส่วนลด,เยน,สำหรับ,นักท่องเที่ยว,ยามา,งา,ตะ,นี,งา,ตะ"
-1,"ลูก,สะท้าน,วงการ"
1,"ธรรมะ,ยามเช้า,1,กค,ชีวิต,ไม่มีใคร,ใจ,หวัง,ไม่มีใคร,พลาด,หวัง,ดังนั้น,ต่อให้,ทุกข์,หนักหนา,ตัวเอง,โชคร้าย,คนเดียว,โลก,bow,ท่าน,วชิร,เมธี,ธรรมะ,ยามเช้า,กค,วันอาสาฬหบูชา,เวลา,มีจำกัด,ดี,มีประโยชน์,ทำ,อย่า,ผัดวันประกันพรุ่ง,อย่า,ประมาท,ไม่รู้,เข้านอน,คืนนี้,ยังมี,วันพรุ่งนี้,ตื่นขึ้น,bow,พระ,เทพ,สิทธิ,นายก,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
-1,"น้ำเต้าหู้,เครื่องดื่ม,มีประโยชน์,ดื่ม,ไม่ดี"
1,"ญี่ปุ่น,ประกาศ,มอบ,ส่วนลด,หนัง,แผ่น,จับมือ,นักแสดง,นักท่องเที่ยว,ตรึม,บ้าน,ฮา,คน"
1,"ขนม,หนา"
1,"กรุบกริบ,เด๋ว,อ้วน,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"สาย,ดอกไม้,เตรียมตัว,ทุ่ง,ดอก,กระเจียว,ชัยภูมิ,บาน"
1,"จิง,จิง"
1,"ชีวิตจริง,นายก,สมาคม,พ่อบ้าน,ใจกล้า,รอง,หมิง"
1,"กิน,มะ,วาน,อุดหนุน,กิจการ,ลุง,เบ,หุ้น,แม่,ลูก,งิ,งิ,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"เพลง,ท่าน,ประธาน,แต่งงาน,ชีวิต,เดี่ยว,หาย"
-1,"ไอติม,ฝาก,ลุง,เบ,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน,อ้าว,หาย,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"ดี,อุดหนุน,โห,น่ย,ลุง,แกะ,ว่าง,กิน,หิน,เย็น,coldstone,กิจการ,คนกันเอง,คริๆ"
1,ของว่าง
1,"ไปเที่ยว,ตปท"
1,"แม่,กับข้าว,เดี๋ยว,เย็น,นี้,ส่อง,บัวลอย,อุ,อุ"
1,"ลุง,เบ,เคลม,กิน,ฟรี,ตลอดชีพ"
1,"ลุง,เบ,ร้าน,บัวลอย"
1,ของหวาน
1,"กิน,ของคาว,นิ,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"เดินทาง,ปลอดภัย,กัญ"
1,"โค้ช,สอน,ว่ายน้ำ,พี่,หมิง,ชัวร์,ป๊าด"
1,"พ่อ,แกะ,ปู้,จา,ลาย,คน,ก๋า"
1,"Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"ร้าน,เด็ด,ชวน,แวะ,แดน,สวน,ผึ้ง,ราชบุรี,อ่าน"
-1,"ลุง,เบ,ระวัง,ขน,จุ๊ก,กะ,แร้ค,นขา,ชาม,บัวลอย"
1,"พื้นที่,กทม,ฝน,อุณหภูมิ,สำ,นักการ,ระบาย,น้ำ,องศาเซลเซียส,ความชื้นสัมพัทธ์"
1,"นิยาย,เปรียบเทียบ,ส้ม,ความสำเร็จ,เพจ,เบล,พนักงาน,จบ,กระตือรือร้น,คน,เบล,ตั้งเป้าหมาย,ที่จะ,ทำงาน,บริษัท,ที่นี่,ตอบ,โจทย์,ความต้องการ,เบล,ชื่อเสียง,เนื้อ,งาน,เงินเดือน,สวัสดิการ,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน,ข้อความ,กรกฎาคม,เวลา,0"
1,"วัด,หนอง,หอย,ja"
1,"วัด,หนอง,หอย,ข้อความ,กรกฎาคม,เวลา"
-1,"โรง,บาน,ปกติ,แจ่ม,อยู่แล้ว,ดี,แผ่ว,อีกที,มุมมอง,โน,มู,ระ,ข้อความ,กรกฎาคม,เวลา,2"
1,"อะ,แวะ,เที่ยว,ราช,รี,คนละ,ริ"
1,"ขาย,หมู,น้อง,ไผ่,ขโมย,รูป,ริ,ริ"
1,"สวัสดี,พี่,บ้าน,ฮา,ทุกท่าน"
1,"ซั่ม,หุ้น,Live,อ่าน,เกม,รายใหญ่,ง้อ,Insider,เนื้อหา,Exclusive,ไม่มี,สอน,ตำรา,กค"
1,"น้อง,เดี่ยว,หาย,ตอบ,เมล์,ลูกค้า,มาเลย์,เมล์,สั่งซื้อ,รูป,unit,น้อง,เดี่ยว,รูป,ดู,ตอบกลับ,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"อันนี้,หุ้น,ตัว,ใด,ก๊ะ,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"ข้อความ,กรกฎาคม,เวลา"
1,"เพื่อน,ป๋า,แมค,ชิล,ซา,วน,์แทค,เลือก,พี่,ข้อความ,กรกฎาคม,เวลา"
1,"ฟรี,บ่าย,สอง,ด่วน,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"ภูเขา,หิน,งู,ไปเที่ยว,รึเปล่า"
1,"อร่อย,หละ,เดี๋ยวนี้,Line,Giftshop,Rabbit,Rewards,แลก"
1,"ปัด,โถ่,ป้า,ลุง,เบ,ไม่ทัน,มาจาก,อ่าง"
1,"ถ้ำ,บิน"
1,"คริๆ,รู้,เหมือนกัน,เดินผ่าน,คิว,อะ,ฟรี,หรอ,แวะ"
-1,"หลัก,สี่,ฝน,เท"
1,"สวัสดี,ยาม,บ่าย,เสาร์,เช้า,ยุ่ง,เตรียม,อาหาร,งานทำบุญ,ร้อย,บ้าน,ฝน,ตก"
1,"อนุ,โม,ทา,โซ,รักษาสุขภาพ"
1,ขอบคุณ
1,Youtube
1,"อ่าว,ไม่ทัน,บ่าย,สอง,แว้ว"
1,"บ้าน,หอม,เทียน"
1,"อันนี้,ไม่ได้,ฮา,รู้สึก,ขากลับ,แวะ,กิน,เตี๋ยว,ไข่,แถว,รพ,สัก"
1,"Best,James,Bond,Moment,Ever"
-1,
1,"บัวลอย,พี่,เบ,หน้าตา,แบบนี้,รึเปล่า,ไข่หวาน,ข้อความ,กรกฎาคม,เวลา"
1,"เพลงปลุกใจ,ลุง,เบ,บัวลอย,ร้าน,ประจำ,เบ,เกินไป,บัวลอย,รู้,ไหม,เบ,คิดคำนึง,ข้อความ,กรกฎาคม,เวลา"
-1,"นาที,ช็อก,เยิ่น,ต๊ะ,หัว,ดารา,จีน,ชื่อดัง,ชาย,ปริศนา,มีด,วิ่ง,แทง,กลาง,เวที"
1,เป็นไง
1,"สบายดี,ครับผม,เฮีย"
1,"สวัสดี,สบายดี"
0,"หิว,หิว,หิว"
-1,"บัวลอย,ขาย,หมี่,จับกัง,หยุด"
-1,"ไส้กรอก,ย่าง,เจ้า,นี้,ไม่น่า,ขน,แปลกปลอม,ร่วง,ใส่,แน่,ผม,ริ,ริ,ข้อความ,กรกฎาคม,เวลา"
-1,"ป้า,น้ำ,กรัม,กะทิ,นม,แทน,ไหม,โอเค,ป้า,ตอบ,กระทู้,ข้อความ,กรกฎาคม,เวลา"
1,"CR,เด็ด,เจ็ด,แหลก,กระทู้,รีวิว,ของกิน,ร้าน,สะดวก,ซื้อ,ประจำเดือน"
1,"ทาน,ไส้กรอก,ย่าง,แทน,บัวลอย,ฮะ"
